Asset,Weight,Marginal Risk,Component Risk,Risk Contribution (%),Expected Return
Australian Listed Equity [G],0.03094807902742608,0.09338148973697913,0.0028899777240788075,4.824892945953708,0.09917945184166035
Int'l Listed Equity (Hedged) [G],4.858538978646962e-16,0.1026988406175849,4.9896632020238806e-17,8.330372440432458e-14,0.10416009814410848
Int'l Listed Equity (Unhedged) [G],0.3734887304883721,0.0933814921588235,0.03487693495750887,58.22794966580928,0.1255058085370825
Australian Listed Property [G],0.0,0.11918854004836865,0.0,0.0,0.10746718368911953
Int'l Listed Property [G],0.0,0.10542746704696061,0.0,0.0,0.043445021258877586
Int'l Listed Infrastructure [G],0.23556319048420396,0.09338149127538141,0.021997242017001702,36.72496744662585,0.056316028617536935
Australian Fixed Income [D],9.943816476055774e-18,0.012088223495710195,1.2020307596288757e-19,2.006821604412681e-16,0.030434224216853684
Int'l Fixed Income (Hedged) [D],0.0,0.014322441693847176,0.0,0.0,0.028909062996298807
Cash [D],0.3600000000000001,0.0003696823426177531,0.00013308564334239115,0.22218994161108765,0.0333063830814754
